Phylum	Reads
Acidobacteria	3488388
Chlorobi	1022633
Spirochaetes	639004
Human	446101
Verrucomicrobia	1024408
Planctomycetes	1640963
Actinobacteria	2666237
Chloroflexi	1435435
Proteobacteria	5161282
Gemmatimonadetes	205231
None	154642
Bacteroidetes	1021276
Ascomycota	104060
Elusimicrobia	101636
Cyanobacteria	1678295
Firmicutes	535020
Crenarchaeota	205108
Nitrospirae	101964
Euryarchaeota	102439
Chlamydiae	203
Apicomplexa	822
Basidiomycota	189
Microsporidia	9
Chytridiomycota	6
Fibrobacteres	5
Cloacimonetes	6
Tenericutes	26
Fusobacteria	6
Deinococcus-Thermus	11
Aquificae	11
Poribacteria	3
Aerophobetes	2
Synergistetes	3
Candidatus Saccharibacteria	3
Thermotogae	3
Atribacteria	2
Marinimicrobia	3
Parcubacteria	4
Latescibacteria	2
Omnitrophica	1
Nitrospinae	1
Thermodesulfobacteria	1
Dictyoglomi	1
Aminicenantes	1
Gracilibacteria	1
Microgenomates	1
