Phylum	Reads
Acidobacteria	3438349
Chlorobi	1008155
Spirochaetes	630025
Human	439921
Verrucomicrobia	1009596
Planctomycetes	1617449
Actinobacteria	2627961
Chloroflexi	1414942
Proteobacteria	5087301
Gemmatimonadetes	202282
None	152565
Bacteroidetes	1006639
Ascomycota	102603
Elusimicrobia	100194
Cyanobacteria	1654426
Firmicutes	527304
Crenarchaeota	202203
Nitrospirae	100428
Euryarchaeota	100973
Apicomplexa	787
Chlamydiae	171
Basidiomycota	183
Chytridiomycota	13
Fusobacteria	10
Armatimonadetes	5
Cloacimonetes	7
Fibrobacteres	5
Tenericutes	15
Aquificae	6
Microsporidia	6
Marinimicrobia	5
Fervidibacteria	3
Poribacteria	2
Deinococcus-Thermus	10
Deferribacteres	2
Aerophobetes	2
Lentisphaerae	2
Thermotogae	4
Candidatus Saccharibacteria	3
Chrysiogenetes	1
Latescibacteria	2
Parcubacteria	1
Synergistetes	3
Thermodesulfobacteria	1
Aminicenantes	1
Dictyoglomi	1
Nitrospinae	1
Microgenomates	1
Hydrogenedentes	1
