Phylum	Reads
Acidobacteria	4726858
Spirochaetes	586437
Human	410514
Verrucomicrobia	943610
Planctomycetes	1322925
Proteobacteria	4361695
Nitrospirae	563528
Chloroflexi	1039234
Gemmatimonadetes	189103
Actinobacteria	1323037
Chlorobi	188437
Crenarchaeota	567043
Firmicutes	1229130
Bacteroidetes	1034504
Ascomycota	95751
None	79368
Elusimicrobia	93516
Euryarchaeota	754987
Cyanobacteria	515467
Apicomplexa	728
Chlamydiae	153
Basidiomycota	162
Fibrobacteres	6
Chytridiomycota	7
Microsporidia	6
Aquificae	7
Armatimonadetes	7
Fusobacteria	12
Tenericutes	28
Microgenomates	5
Poribacteria	4
Candidatus Saccharibacteria	3
Ignavibacteriae	2
Parcubacteria	4
Thermotogae	5
Gracilibacteria	3
Atribacteria	4
Deferribacteres	2
Deinococcus-Thermus	3
Marinimicrobia	3
Cloacimonetes	2
Dictyoglomi	1
Latescibacteria	2
Omnitrophica	1
Chrysiogenetes	2
Nitrospinae	3
Fervidibacteria	1
Caldiserica	1
Synergistetes	2
Thermodesulfobacteria	3
Cryptomycota	1
