2699 CP003034-_Pathogens_15130_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1.000
7578 CP001172-_Pathogens_12754_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.980
12065 CP000912-_Pathogens_4911_1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	0.800
10829 CP000875-_Chloroflexi_58636_1	Root;k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__;f__	0.830
18374 CP001700-_Actinobacteria_6566_1	Root;k__Bacteria	0.980
19158 CP001191-_Rhizobium_Bradyrhizobium_157630_1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.840
10101 CP001829-_Actinobacteria_8155_1	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.890
9352 CP001100-_Chlorobi_50507_1	Root;k__Bacteria	1.000
4411 CP001337-_Chloroflexi_73341_2	Root;k__Bacteria	0.950
19176 FR729477-_Proteobacteria_11454_1	Root;k__Bacteria	1.000
18448 HE774682-_Bacteroidetes_16065_2	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.900
10671 CP003364-_Planctomycetes_540523_2	Root;k__Bacteria	0.990
9046 FQ312002-_Proteobacteria_7572_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.960
10584 HE798556-_Proteobacteria_6738_1	Root;k__Bacteria;p__Proteobacteria	0.930
1236 CP003386-_Pathogens_23107_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.880
4461 CP000612-_Firmicutes_9783_2	Root;k__Bacteria	0.940
8238 Rose_mixed_divergence_sequence_g-_Simulated_122947_1	Root;k__Bacteria	0.950
9789 CP000826-_Proteobacteria_5443_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.820
18840 CP000885-_Firmicutes_14012_2	Root;k__Bacteria	0.990
20835 CP002353-_Planctomycetes_63513_1	Root;k__Bacteria	0.980
19411 CP003591-_Cyanobacteria_50664_1	Root;k__Bacteria;p__Cyanobacteria	0.870
13887 CP002480-_Acidobacteria_171393_1	Root;k__Bacteria	0.870
11053 CP003195-_Actinobacteria_21549_2	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.930
13897 CP000096-_Chlorobi_61978_1	Root;k__Bacteria	0.930
1801 CP003697-_Actinobacteria_5962_1	Root;k__Bacteria	0.980
