Root_Other_Other	147.0
Root_k__Archaea_Other	15.0
Root_k__Archaea_p__Crenarchaeota	123.0
Root_k__Archaea_p__Euryarchaeota	107.0
Root_k__Bacteria_Other	9102.0
Root_k__Bacteria_p__Acidobacteria	545.0
Root_k__Bacteria_p__Actinobacteria	2005.0
Root_k__Bacteria_p__Bacteroidetes	830.0
Root_k__Bacteria_p__Chlorobi	704.0
Root_k__Bacteria_p__Chloroflexi	712.0
Root_k__Bacteria_p__Cyanobacteria	972.0
Root_k__Bacteria_p__Elusimicrobia	65.0
Root_k__Bacteria_p__Firmicutes	775.0
Root_k__Bacteria_p__Gemmatimonadetes	24.0
Root_k__Bacteria_p__Nitrospirae	38.0
Root_k__Bacteria_p__Planctomycetes	529.0
Root_k__Bacteria_p__Proteobacteria	4878.0
Root_k__Bacteria_p__Spirochaetes	153.0
Root_k__Bacteria_p__Verrucomicrobia	503.0
Unassignable_Other_Other	1.0
