Cyanobacteria	1796761
Proteobacteria	4953653
Firmicutes	527694
Deinococcus-Thermus	23
Candidatus_Saccharibacteria	1
Cloacimonetes	1
Fusobacteria	1
Nitrospirae	101163
Verrucomicrobia	1011716
Chlamydiae	7
Caldiserica	3
Armatimonadetes	1
Bacteroidetes	1011902
Chlorobi	1011720
Ignavibacteriae	2
Elusimicrobia	101161
Acidobacteria	3439682
Fibrobacteres	2
Gemmatimonadetes	202357
Aquificae	3
Chloroflexi	1416235
Thermotogae	8
Deferribacteres	3
Chrysiogenetes	2
Thermodesulfobacteria	9
Actinobacteria	2630521
Planctomycetes	1618725
Spirochaetes	651982
Synergistetes	2
Tenericutes	570
Crenarchaeota	202338
Euryarchaeota	102227
Thaumarchaeota	3
